praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
36.5,22.3,17.5,142.0,9.06,16.1,22.1,661.0,6.55,27.6,20.2
47.8,31.9,34.0,426.0,41.0,2.07,3.79,27.1,13.9,26.9,74.3
79.1,62.6,19.5,19.3,13.8,9.39,32.5,483.0,9.82,24.6,54.2
17.0,10.1,41.4,284.0,49.1,23.3,33.7,621.0,12.5,25.5,77.7
41.4,28.9,13.8,81.3,11.5,28.6,44.5,379.0,8.82,26.7,52.8
29.2,10.7,12.5,15.4,15.8,14.2,29.2,626.0,6.73,54.2,6.38
61.0,26.7,9.82,8.98,9.39,24.8,34.6,500.0,5.88,12.9,31.9
33.1,32.8,87.4,403.0,64.4,7.1,14.1,1252.0,6.98,23.3,14.9
106.0,102.0,69.8,359.0,68.5,10.9,25.5,828.0,4.78,15.1,5.78
33.7,5.62,26.2,168.0,22.9,20.0,24.4,414.0,9.22,28.6,31.6
52.8,26.9,25.5,106.0,19.8,7.43,67.3,352.0,8.06,25.7,40.0
22.3,26.7,44.1,153.0,42.6,12.6,22.9,939.0,13.2,20.4,70.4
41.4,29.4,13.9,23.9,1.79,9.91,23.9,1286.0,20.5,61.5,138.0
76.4,50.9,20.5,22.9,3.59,2.33,4.74,50.9,15.8,29.7,82.0
92.2,92.2,27.6,39.6,2.37,34.6,62.1,820.0,4.29,14.9,37.9
73.7,41.0,75.0,217.0,58.3,21.7,41.8,1894.0,8.35,16.1,38.5
49.6,30.8,51.9,276.0,51.4,5.52,11.3,737.0,4.41,10.7,10.7
172.0,153.0,43.7,233.0,16.1,20.2,35.2,704.0,7.3,18.6,36.5
50.0,32.2,97.3,392.0,89.0,13.2,20.7,673.0,10.2,22.9,30.8
47.0,42.2,25.3,16.0,14.1,6.67,29.7,325.0,6.85,36.5,24.8
42.9,35.5,22.5,24.6,15.0,14.6,32.2,661.0,28.1,76.4,117.0
106.0,71.7,28.9,157.0,29.2,11.4,23.9,542.0,5.23,23.7,58.8
57.3,38.2,27.1,26.9,10.9,9.14,19.3,207.0,13.6,35.5,44.5
22.9,25.3,14.5,124.0,21.9,72.3,133.0,2548.0,5.05,6.15,25.9
41.4,22.9,28.9,22.5,7.57,9.65,50.5,237.0,19.3,45.7,105.0
48.3,18.4,13.9,132.0,12.5,12.5,33.1,882.0,49.1,107.0,211.0
85.8,56.2,65.5,72.3,17.9,21.9,32.8,737.0,18.3,14.6,23.3
73.0,54.7,20.0,151.0,30.5,28.1,38.5,723.0,16.5,32.2,33.4
28.6,33.7,13.9,204.0,27.4,22.5,37.5,679.0,3.92,17.3,36.8
86.6,79.9,16.0,136.0,13.8,18.4,28.9,626.0,10.0,18.3,23.3
113.0,88.2,47.8,93.9,43.7,20.7,35.2,491.0,10.3,22.3,35.5
28.9,21.1,17.6,19.1,6.49,9.56,20.9,973.0,2.71,20.7,3.13
129.0,75.7,13.7,125.0,17.9,6.49,15.8,334.0,14.2,53.8,27.4
26.4,29.4,17.6,81.3,16.7,17.8,36.5,1554.0,15.1,30.2,56.2
41.4,23.9,44.9,426.0,49.1,19.1,34.0,956.0,2.0,75.0,11.9
41.0,25.9,62.1,219.0,38.2,6.73,16.3,334.0,5.47,19.5,18.4
29.7,30.0,17.3,80.6,9.65,11.1,24.4,457.0,18.8,47.4,73.0
38.5,33.7,37.2,382.0,20.7,18.1,27.6,649.0,11.3,16.7,32.8
35.9,26.7,18.8,41.8,11.0,98.2,231.0,1794.0,23.3,56.7,109.0
39.2,23.1,12.0,160.0,23.1,11.3,21.9,1263.0,5.47,17.9,11.5
48.7,28.6,62.1,302.0,94.7,35.5,60.4,717.0,11.2,34.3,44.9
69.2,43.3,25.3,22.3,1.93,21.7,42.9,791.0,9.31,24.1,29.7
147.0,87.4,26.9,20.4,20.7,32.8,47.4,777.0,20.0,56.2,103.0
89.8,62.1,23.1,30.8,4.57,8.9,31.1,583.0,59.4,126.0,121.0
39.6,36.8,29.4,40.0,12.6,9.22,10.2,231.0,8.82,26.2,37.5
34.9,23.1,12.6,117.0,13.9,14.1,17.0,509.0,9.39,40.0,43.7
142.0,94.7,28.9,13.8,5.67,11.3,24.6,644.0,8.28,6.55,7.7
