praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
24.1,1.0,13.0,403.0,84.3,20.5,21.5,255.0,1.63,84.3,1.36
19.3,1.01,19.3,112.0,37.2,64.9,61.0,276.0,2.37,137.0,1.2
3.43,1.96,9.22,183.0,22.9,10.5,15.8,632.0,19.5,36.2,1.12
16.4,1.01,48.7,385.0,113.0,9.39,23.9,704.0,8.9,15.8,1.14
29.4,1.0,15.5,30.0,17.5,8.43,18.4,340.0,18.4,61.0,6.1
36.8,1.0,30.8,225.0,85.1,13.1,13.7,248.0,1.14,414.0,2.05
19.3,1.01,22.3,239.0,38.2,26.2,26.2,337.0,1.0,3.11,1.09
42.2,6.49,22.5,21.9,16.0,15.5,19.6,241.0,1.0,82.8,1.24
54.2,4.83,58.8,55.7,19.1,124.0,181.0,3191.0,1.0,1.0,1.0
20.0,1.0,3.79,5.23,15.3,30.0,33.4,276.0,1.0,173.0,2.04
20.4,1.0,37.9,355.0,82.8,12.6,19.3,271.0,1.0,626.0,2.11
136.0,1.0,41.4,57.8,15.5,13.2,17.9,305.0,1.0,8.66,1.0
17.5,1.21,27.4,271.0,86.6,49.1,46.1,791.0,1.07,1.0,3.62
29.2,2.13,22.9,25.5,3.43,13.0,17.2,292.0,1.0,1.63,1.21
16.4,1.01,32.8,35.2,6.26,10.2,16.8,233.0,1.0,25.5,6.98
7.5,1.01,23.7,146.0,55.7,142.0,179.0,2839.0,1.0,59.9,2.69
28.9,1.27,33.1,14.2,62.1,79.9,95.6,1540.0,1.0,396.0,1.63
20.2,1.01,15.3,257.0,31.3,1.0,3.05,8.58,1.3,1.0,3.72
138.0,1.01,52.3,178.0,58.3,23.5,23.9,385.0,1.0,3.49,2.69
77.0,5.83,15.0,15.1,13.5,8.28,13.7,239.0,1.0,1.01,2.33
41.8,1.01,1.0,6.32,1.75,7.91,8.35,308.0,1.0,1.01,1.6
31.6,1.01,13.7,77.0,26.2,12.6,13.9,316.0,1.0,1.0,2.09
1.0,1.0,48.7,202.0,62.1,5.83,16.7,461.0,1.0,5.52,2.44
22.9,1.0,21.7,138.0,39.2,24.6,28.1,349.0,1.84,1.0,4.29
11.1,1.01,17.6,365.0,46.6,17.5,24.1,267.0,1.0,1.01,1.03
17.0,1.01,23.1,26.9,21.5,2.53,11.8,305.0,1.53,37.2,2.33
20.0,1.0,2.74,4.7,23.7,47.8,65.5,1446.0,1.0,27.6,1.5
57.3,1.01,71.0,204.0,130.0,5.88,9.73,403.0,7.17,21.5,5.42
20.5,1.01,8.74,27.6,22.5,7.1,10.4,257.0,1.0,1.75,1.0
30.5,1.25,40.0,34.3,13.5,20.5,22.7,334.0,1.0,246.0,1.51
28.4,1.01,35.9,231.0,73.0,7.91,20.7,343.0,1.0,1.0,2.19
42.6,1.13,3.43,89.8,9.91,79.9,84.3,1094.0,1.0,1.01,1.0
43.3,1.0,8.51,22.5,1.0,13.8,23.3,578.0,1.0,1.01,1.49
5.62,1.11,41.4,34.9,7.43,34.6,41.4,538.0,1.0,1.0,1.21
71.0,1.0,10.7,14.2,29.4,2.17,11.2,346.0,1.0,13.2,3.37
42.9,2.13,21.3,33.1,20.4,7.37,11.8,352.0,1.0,2.62,1.37
12.4,1.07,9.31,22.3,13.1,11.7,22.5,274.0,1.0,34.6,2.19
5.94,1.0,37.5,10.9,53.3,129.0,151.0,2227.0,4.29,36.5,2.81
16.8,1.22,52.8,457.0,101.0,6.49,15.1,349.0,1.0,1.32,1.55
39.6,1.0,33.7,621.0,142.0,2.94,15.7,562.0,1.0,11.2,2.53
22.9,1.42,14.9,34.6,30.5,24.1,33.7,433.0,1.0,113.0,1.0
25.5,1.01,24.4,26.7,46.1,20.7,26.4,302.0,1.0,7.84,1.0
15.7,1.01,41.0,49.1,25.9,40.0,56.7,890.0,3.19,11.7,1.64
21.3,1.01,2.11,11.8,9.82,16.1,25.9,426.0,1.0,6.32,1.47
40.3,1.03,23.9,62.6,20.9,9.22,19.8,334.0,1.0,1.01,1.96
36.5,1.21,28.9,30.0,11.4,5.09,22.5,235.0,1.0,1.0,1.0
27.9,1.01,18.3,233.0,74.3,11.5,12.7,250.0,2.37,1370.0,2.86
1.0,1.58,101.0,453.0,129.0,6.04,15.3,355.0,1.24,1.0,1.0
27.4,4.29,16.8,44.9,16.0,1.73,11.2,271.0,1.24,28.1,1.86
25.7,1.32,79.9,500.0,164.0,8.43,12.2,340.0,1.0,15.1,1.0
31.9,1.01,42.6,313.0,168.0,19.5,16.1,308.0,10.7,403.0,1.04
82.0,1.33,9.31,213.0,15.8,14.2,19.5,257.0,1.0,82.8,1.26
170.0,1.0,20.2,138.0,13.7,14.1,11.7,352.0,1.0,1.0,1.41
62.1,1.0,31.9,32.5,11.9,145.0,237.0,2813.0,1.07,1.0,1.19
16.3,1.2,29.7,119.0,37.9,12.5,11.3,235.0,1.21,93.1,1.93
26.4,1.01,4.18,1.91,939.0,24.1,28.4,337.0,1.0,1.0,1.79
40.3,2.11,18.4,115.0,25.0,12.1,19.3,281.0,2.92,38.5,4.49
21.3,1.01,20.9,48.7,21.3,24.6,24.4,372.0,1.0,1.83,1.0
52.3,1.01,16.5,29.7,23.1,8.9,17.3,343.0,1.0,7.1,2.27
20.0,1.01,25.3,27.9,1.0,10.2,15.1,239.0,1.0,3.52,1.01
29.2,1.01,15.4,41.8,24.4,11.3,27.9,429.0,1.0,71.0,1.27
29.7,1.0,26.9,26.9,31.1,26.7,34.9,308.0,1.0,44.5,1.0
30.5,1.0,17.8,188.0,48.3,12.6,12.6,311.0,1.0,422.0,1.57
76.4,1.36,8.43,4.83,1.0,10.8,17.6,355.0,1.0,4.07,1.01
40.0,1.01,6.79,9.47,3.62,13.1,11.8,389.0,1.0,1.55,1.54
44.1,1.01,28.1,22.5,10.6,21.1,37.2,445.0,1.0,8.98,1.88
37.2,1.0,11.5,18.8,25.3,34.0,35.2,319.0,1.06,1.0,2.39
70.4,1.0,9.65,18.9,23.9,10.1,14.7,244.0,1.01,1.51,1.01
37.9,1.01,7.17,21.1,20.2,1.5,10.3,615.0,1.0,1.01,1.5
