praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
176.0,294.0,337.0,644.0,9.73,18.4,101.0,5.99,93.1,505.0,142.0
126.0,204.0,164.0,308.0,2.53,99.1,835.0,16.8,1358.0,6436.0,2110.0
433.0,710.0,233.0,422.0,8.66,23.9,150.0,3.11,91.4,487.0,202.0
161.0,248.0,362.0,661.0,6.38,69.8,505.0,8.98,1358.0,6916.0,4740.0
151.0,257.0,93.1,172.0,14.3,47.0,392.0,26.4,69.8,422.0,418.0
578.0,1037.0,246.0,777.0,33.1,49.1,319.0,10.6,32.8,165.0,131.0
305.0,483.0,1446.0,2148.0,89.8,37.9,235.0,9.56,248.0,1433.0,750.0
231.0,410.0,239.0,414.0,9.91,31.3,250.0,2.81,82.0,514.0,141.0
1747.0,2267.0,99.1,184.0,5.33,48.3,372.0,6.61,392.0,2167.0,890.0
191.0,276.0,262.0,491.0,3.02,32.5,175.0,7.3,35.5,205.0,723.0
483.0,717.0,1018.0,1811.0,70.4,82.8,542.0,5.38,37.2,215.0,723.0
250.0,426.0,175.0,362.0,1.63,42.2,274.0,12.9,35.2,191.0,135.0
294.0,461.0,102.0,200.0,3.19,23.3,117.0,4.57,137.0,723.0,385.0
17.2,44.1,241.0,403.0,6.85,13.6,153.0,6.79,59.9,362.0,146.0
365.0,583.0,505.0,914.0,49.1,18.9,104.0,11.1,146.0,799.0,227.0
1018.0,1625.0,110.0,209.0,3.96,53.8,403.0,2.86,54.2,308.0,284.0
626.0,851.0,281.0,453.0,12.4,81.3,562.0,15.0,279.0,1747.0,704.0
175.0,264.0,61.5,124.0,3.75,62.1,426.0,7.23,191.0,1084.0,346.0
898.0,1499.0,599.0,1084.0,54.7,73.0,418.0,7.57,78.4,474.0,221.0
410.0,764.0,168.0,362.0,9.14,23.9,137.0,11.0,193.0,1018.0,906.0
170.0,311.0,108.0,207.0,2.48,193.0,1433.0,40.7,167.0,914.0,375.0
161.0,286.0,429.0,866.0,4.41,34.9,276.0,1.24,62.6,246.0,108.0
375.0,667.0,685.0,1334.0,8.51,54.7,340.0,12.2,225.0,1346.0,403.0
13.1,10.4,359.0,547.0,8.35,55.7,313.0,10.1,89.8,557.0,154.0
217.0,368.0,313.0,528.0,6.04,48.7,331.0,3.11,337.0,1811.0,262.0
119.0,165.0,365.0,604.0,10.6,64.9,505.0,15.0,48.7,316.0,209.0
161.0,239.0,679.0,1124.0,25.0,33.4,257.0,30.8,22.5,158.0,43.7
39.2,57.8,414.0,799.0,2.97,64.4,352.0,13.8,133.0,698.0,117.0
890.0,1407.0,158.0,246.0,10.2,43.3,262.0,9.65,37.9,246.0,109.0
82.0,141.0,325.0,583.0,6.38,44.9,257.0,8.9,874.0,4332.0,806.0
67.3,100.0,279.0,422.0,8.28,59.9,392.0,4.61,82.8,426.0,281.0
368.0,583.0,368.0,679.0,5.23,69.2,505.0,7.7,17.8,99.1,47.4
186.0,313.0,379.0,644.0,31.9,55.2,382.0,10.5,108.0,723.0,248.0
1241.0,1794.0,1018.0,1640.0,44.5,56.2,368.0,14.5,60.4,343.0,172.0
259.0,410.0,138.0,202.0,1.39,65.5,461.0,9.82,30.2,157.0,204.0
429.0,673.0,105.0,200.0,3.96,72.3,470.0,19.8,828.0,4105.0,1499.0
223.0,325.0,813.0,1407.0,16.8,42.6,248.0,12.2,66.7,316.0,106.0
90.6,135.0,487.0,1027.0,61.0,108.0,730.0,7.1,16.7,89.8,31.6
188.0,362.0,355.0,649.0,14.9,69.8,478.0,7.04,53.8,319.0,104.0
297.0,514.0,322.0,632.0,1.17,21.7,107.0,9.22,30.5,198.0,114.0
173.0,300.0,906.0,1582.0,15.3,18.1,113.0,2.31,103.0,583.0,146.0
