praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
2436.0,3685.0,16.4,40.0,11.2,1.0,41.8,105.0,6.38,23.7,77.7
114.0,160.0,11.8,32.2,13.6,3.82,38.2,119.0,7.23,44.9,15.8
557.0,947.0,7.7,18.6,36.5,5.19,64.9,138.0,2.05,20.0,12.4
638.0,914.0,11.9,59.4,18.9,2.46,44.1,107.0,1.22,17.9,7.37
316.0,461.0,4.91,73.7,24.6,4.7,30.5,2017.0,25.9,49.6,15.8
181.0,279.0,4.61,281.0,50.9,5.23,50.9,215.0,1.72,28.1,13.0
213.0,328.0,26.9,160.0,59.9,1.12,68.5,95.6,7.43,27.4,5.83
139.0,189.0,2.5,457.0,32.2,1.6,105.0,403.0,1.7,32.2,9.91
173.0,274.0,8.58,50.0,30.8,1.25,23.1,48.3,24.1,76.4,22.3
322.0,500.0,15.5,23.5,9.06,1.83,38.2,36.8,1.0,23.7,9.65
1999.0,2738.0,12.0,19.6,18.4,1.0,61.0,88.2,8.51,26.7,143.0
389.0,588.0,11.1,82.0,13.6,29.4,119.0,4105.0,1.0,31.6,7.84
122.0,181.0,19.5,9.65,2.07,1.54,45.7,96.5,6.1,23.7,4.1
509.0,723.0,10.7,55.2,19.1,3.75,82.8,137.0,1.0,33.1,11.9
227.0,334.0,21.7,35.5,14.1,3.92,120.0,269.0,9.06,55.2,17.0
99.1,112.0,11.5,70.4,24.6,3.4,93.1,346.0,9.22,38.9,271.0
175.0,231.0,11.2,110.0,42.6,12.3,141.0,3820.0,1.0,34.3,3.79
1472.0,2129.0,11.0,5.47,20.0,1.0,23.3,78.4,1.0,10.8,6.21
204.0,355.0,20.2,32.5,23.3,1.32,23.3,103.0,14.9,47.8,22.3
1165.0,1685.0,12.6,16.5,3.02,3.13,84.3,349.0,1.0,29.4,15.5
161.0,269.0,14.3,21.9,17.9,31.3,202.0,4332.0,4.7,29.7,12.6
274.0,410.0,14.2,235.0,75.0,2.17,63.8,126.0,16.8,52.3,20.5
248.0,389.0,10.2,82.8,33.4,11.9,69.8,1827.0,1.15,45.7,15.1
372.0,588.0,16.5,379.0,64.4,2.41,110.0,331.0,1.81,21.3,15.3
1046.0,1568.0,13.5,18.4,5.83,1.0,32.2,95.6,15.0,53.3,22.7
286.0,375.0,17.8,33.4,10.1,7.7,59.4,355.0,11.9,44.9,13.9
157.0,274.0,1.86,18.6,23.7,1.0,170.0,379.0,1.0,12.6,9.06
461.0,723.0,12.3,15.1,12.6,12.0,37.5,737.0,10.6,47.4,12.3
281.0,414.0,22.5,31.1,21.7,6.32,77.0,271.0,4.07,27.9,1.67
621.0,1065.0,16.4,36.2,20.7,6.49,59.4,1894.0,20.9,58.8,28.9
269.0,426.0,17.5,23.9,2.27,1.41,11.0,10.8,2.37,37.9,5.57
305.0,445.0,10.3,20.0,8.58,1.0,19.3,106.0,1.0,26.7,5.78
106.0,142.0,11.0,60.4,19.5,1.09,133.0,362.0,3.89,37.9,5.94
49.6,49.6,13.8,63.8,19.5,27.9,100.0,1472.0,1.64,35.2,9.65
95.6,136.0,13.1,25.3,11.4,2.86,42.2,223.0,28.6,129.0,75.0
359.0,470.0,9.31,168.0,31.1,1.0,13.6,87.4,1.0,18.8,8.06
181.0,271.0,25.9,135.0,48.3,6.92,121.0,385.0,44.1,111.0,50.5
196.0,322.0,11.4,30.2,30.8,3.92,115.0,487.0,5.47,59.4,8.13
59.4,72.3,10.6,21.7,5.05,37.9,158.0,3051.0,3.49,37.2,9.65
114.0,145.0,7.77,131.0,30.0,1.0,32.5,107.0,11.9,33.7,17.3
151.0,237.0,14.1,27.4,17.3,2.39,42.2,204.0,1.0,36.5,18.3
433.0,667.0,7.1,10.6,32.8,2.0,83.5,334.0,4.41,14.1,7.57
813.0,1208.0,14.2,72.3,27.6,3.34,75.7,233.0,2.46,11.5,5.33
173.0,244.0,22.1,18.9,17.6,1.0,48.3,98.2,2.89,18.6,13.0
274.0,433.0,8.13,146.0,31.6,2.11,64.4,322.0,2.67,107.0,349.0
122.0,231.0,7.77,141.0,6.73,1.0,43.3,113.0,12.2,30.0,30.2
1155.0,1700.0,5.57,155.0,13.9,4.22,52.8,1655.0,2.37,16.0,5.42
154.0,165.0,9.65,183.0,36.2,3.4,111.0,316.0,49.1,90.6,42.2
239.0,349.0,10.0,17.0,30.8,2.59,32.8,102.0,1.17,12.0,1.36
355.0,453.0,10.3,19.8,15.3,2.13,155.0,319.0,1.65,21.7,3.65
509.0,799.0,14.9,13.8,9.47,26.7,133.0,4217.0,11.7,54.7,28.9
1208.0,1731.0,12.5,17.9,15.5,32.2,184.0,4826.0,2.55,33.4,11.5
673.0,1055.0,19.8,22.3,8.82,1.24,26.4,33.7,1.41,40.7,1.0
62.6,69.2,14.7,28.6,23.7,1.22,66.7,73.0,4.78,35.2,11.4
