praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
14.6,18.6,3.16,5.67,19.1,21.3,33.1,308.0,1.0,1.65,4.29
17.2,39.6,4.0,14.9,23.7,23.1,34.3,328.0,1.15,5.42,2.81
15.8,15.1,2.33,213.0,24.6,18.1,26.2,286.0,25.7,44.1,3.11
9.39,14.7,1.12,1.0,1.01,8.51,28.4,1165.0,1.06,12.9,4.37
9.82,6.04,4.37,17.2,16.8,13.9,18.9,461.0,6.32,10.5,4.83
9.65,10.6,1.0,253.0,42.9,10.1,18.9,770.0,3.19,1.01,13.1
33.7,19.6,19.6,28.6,8.2,7.7,8.98,533.0,24.8,44.9,12.5
18.8,19.6,7.99,215.0,3.72,4.91,19.3,1241.0,9.82,7.43,13.8
39.2,17.2,7.23,200.0,33.4,11.5,17.9,407.0,14.9,19.8,18.4
16.1,15.4,7.17,114.0,32.5,18.3,28.1,167.0,14.6,23.1,19.6
46.6,12.2,4.7,157.0,32.2,9.82,20.2,1334.0,3.08,1.0,1.96
50.9,24.1,2.5,202.0,30.5,6.1,11.8,1275.0,1.0,1.63,1.02
28.6,20.2,7.04,195.0,12.4,23.7,40.0,557.0,3.89,20.9,30.2
13.1,40.0,5.0,29.4,38.5,13.1,17.2,262.0,6.21,12.0,6.21
48.7,22.5,8.82,93.9,48.3,32.5,50.5,1310.0,1.04,6.85,85.8
37.2,19.5,36.8,352.0,158.0,7.77,21.3,692.0,10.6,17.5,27.6
11.3,6.21,14.2,23.7,12.5,26.7,36.8,340.0,17.3,41.8,44.1
47.8,18.1,14.1,157.0,22.7,8.2,16.5,219.0,1.0,1.0,9.73
17.5,29.4,6.32,113.0,12.7,10.4,23.1,400.0,10.5,21.9,2.25
38.2,20.5,10.2,93.9,16.4,28.4,50.0,422.0,1.43,1.3,4.07
2.55,12.4,5.52,122.0,42.9,18.9,42.2,965.0,2.81,17.9,74.3
52.8,21.3,12.4,86.6,35.2,14.1,25.7,717.0,5.09,7.77,4.37
41.8,45.3,3.72,241.0,28.1,7.57,11.4,661.0,13.2,23.7,12.6
67.3,24.8,11.7,704.0,93.9,22.7,40.7,365.0,6.21,11.0,16.1
13.7,10.1,13.1,48.7,30.0,19.3,28.4,644.0,3.25,1.96,7.84
15.0,39.6,24.4,55.7,30.2,24.6,28.9,163.0,1.25,6.15,4.03
21.9,18.3,7.77,9.56,19.3,11.3,25.9,461.0,1.37,1.0,8.82
67.9,40.0,24.4,64.4,4.26,58.8,87.4,533.0,6.44,35.2,54.2
10.2,13.5,13.8,233.0,51.9,17.3,49.6,1715.0,7.1,19.8,28.9
15.8,22.1,12.0,17.9,78.4,2.21,10.7,799.0,8.98,19.5,11.3
85.1,106.0,9.56,14.1,51.9,30.8,43.3,319.0,24.8,79.9,69.2
57.8,16.5,15.4,40.0,135.0,16.7,25.5,382.0,4.07,5.62,10.3
9.56,24.4,5.67,17.8,28.4,9.65,12.1,533.0,9.47,17.6,12.0
27.9,27.4,3.79,1.01,9.22,8.13,20.5,487.0,6.1,20.9,52.3
17.8,17.2,2.02,202.0,19.3,13.2,13.2,692.0,1.45,6.44,2.69
34.9,15.0,7.17,176.0,47.0,10.7,18.6,453.0,30.0,48.3,22.7
75.7,17.6,1.43,340.0,29.7,7.23,21.7,644.0,11.5,21.1,2.0
38.5,16.0,1.0,806.0,106.0,2.74,13.1,441.0,8.98,15.0,1.51
34.3,36.5,21.7,183.0,48.7,16.7,19.5,449.0,7.91,11.7,5.0
